 0.304 | 0.616 | 1.204 | 1.461 |   n/a |   n/a |
 0.315 | 0.631 | 1.222 | 1.484 |   n/a |   n/a |
 0.310 | 0.624 | 1.212 | 1.466 |   n/a |   n/a |
 0.305 | 0.617 | 1.205 | 1.460 |   n/a |   n/a |
 0.306 | 0.619 | 1.199 | 1.446 |   n/a |   n/a |
 0.314 | 0.621 | 1.242 | 1.502 |   n/a |   n/a |
 0.310 | 0.624 | 1.211 | 1.468 |   n/a |   n/a |
 0.300 | 0.617 | 1.197 | 1.439 |   n/a |   n/a |
 0.310 | 0.621 | 1.188 | 1.433 |   n/a |   n/a |
 0.307 | 0.614 | 1.210 | 1.467 |   n/a |   n/a |
 0.313 | 0.630 | 1.224 | 1.482 |   n/a |   n/a |
 0.307 | 0.618 | 1.201 | 1.455 |   n/a |   n/a |
