 0.308 | 0.667 | 0.945 | 1.042 |   n/a |   n/a |
 0.306 | 0.659 | 0.937 | 1.043 |   n/a |   n/a |
 0.306 | 0.660 | 0.935 | 1.029 |   n/a |   n/a |
 0.308 | 0.663 | 0.939 | 1.031 |   n/a |   n/a |
 0.311 | 0.667 | 0.944 | 1.040 |   n/a |   n/a |
 0.304 | 0.653 | 0.929 | 1.037 |   n/a |   n/a |
 0.309 | 0.671 | 0.952 | 1.042 |   n/a |   n/a |
 0.310 | 0.666 | 0.941 | 1.032 |   n/a |   n/a |
 0.307 | 0.654 | 0.926 | 1.032 |   n/a |   n/a |
 0.308 | 0.662 | 0.931 | 1.022 |   n/a |   n/a |
 0.310 | 0.664 | 0.939 | 1.031 |   n/a |   n/a |
 0.305 | 0.661 | 0.934 | 1.027 |   n/a |   n/a |
