 0.392 | 0.592 | 0.783 | 0.877 |   n/a |   n/a |
 0.395 | 0.591 | 0.782 | 0.880 |   n/a |   n/a |
 0.394 | 0.594 | 0.786 | 0.882 |   n/a |   n/a |
 0.395 | 0.595 | 0.785 | 0.880 |   n/a |   n/a |
 0.393 | 0.584 | 0.781 | 0.879 |   n/a |   n/a |
 0.384 | 0.576 | 0.752 | 0.851 |   n/a |   n/a |
 0.392 | 0.579 | 0.778 | 0.878 |   n/a |   n/a |
 0.390 | 0.585 | 0.772 | 0.870 |   n/a |   n/a |
 0.391 | 0.587 | 0.778 | 0.871 |   n/a |   n/a |
 0.384 | 0.577 | 0.776 | 0.875 |   n/a |   n/a |
 0.388 | 0.589 | 0.766 | 0.860 |   n/a |   n/a |
 0.383 | 0.588 | 0.778 | 0.876 |   n/a |   n/a |
