 0.612 | 0.875 | 1.187 | 1.261 |   n/a |   n/a |
 0.597 | 0.841 | 1.163 | 1.242 |   n/a |   n/a |
 0.611 | 0.877 | 1.194 | 1.273 |   n/a |   n/a |
 0.599 | 0.845 | 1.166 | 1.244 |   n/a |   n/a |
 0.610 | 0.872 | 1.189 | 1.266 |   n/a |   n/a |
 0.607 | 0.867 | 1.185 | 1.260 |   n/a |   n/a |
 0.614 | 0.879 | 1.196 | 1.274 |   n/a |   n/a |
 0.606 | 0.864 | 1.186 | 1.258 |   n/a |   n/a |
 0.604 | 0.866 | 1.181 | 1.257 |   n/a |   n/a |
 0.610 | 0.874 | 1.188 | 1.265 |   n/a |   n/a |
 0.611 | 0.875 | 1.186 | 1.263 |   n/a |   n/a |
 0.595 | 0.833 | 1.139 | 1.218 |   n/a |   n/a |
