 0.599 | 0.973 | 1.349 | 1.491 |   n/a |   n/a |
 0.596 | 0.970 | 1.332 | 1.461 |   n/a |   n/a |
 0.600 | 0.973 | 1.347 | 1.487 |   n/a |   n/a |
 0.600 | 0.973 | 1.346 | 1.484 |   n/a |   n/a |
 0.599 | 0.968 | 1.329 | 1.454 |   n/a |   n/a |
 0.591 | 0.959 | 1.326 | 1.455 |   n/a |   n/a |
 0.596 | 0.966 | 1.331 | 1.466 |   n/a |   n/a |
 0.596 | 0.966 | 1.337 | 1.478 |   n/a |   n/a |
 0.593 | 0.964 | 1.339 | 1.476 |   n/a |   n/a |
 0.594 | 0.957 | 1.323 | 1.461 |   n/a |   n/a |
 0.598 | 0.971 | 1.346 | 1.483 |   n/a |   n/a |
 0.595 | 0.966 | 1.332 | 1.467 |   n/a |   n/a |
