 0.396 | 0.746 | 1.080 | 1.204 |   n/a |   n/a |
 0.396 | 0.746 | 1.083 | 1.205 |   n/a |   n/a |
 0.395 | 0.743 | 1.068 | 1.190 |   n/a |   n/a |
 0.394 | 0.722 | 1.059 | 1.180 |   n/a |   n/a |
 0.391 | 0.740 | 1.074 | 1.197 |   n/a |   n/a |
 0.393 | 0.743 | 1.081 | 1.205 |   n/a |   n/a |
 0.392 | 0.715 | 1.052 | 1.178 |   n/a |   n/a |
 0.394 | 0.741 | 1.076 | 1.197 |   n/a |   n/a |
 0.394 | 0.744 | 1.081 | 1.204 |   n/a |   n/a |
 0.396 | 0.745 | 1.080 | 1.202 |   n/a |   n/a |
 0.396 | 0.745 | 1.081 | 1.203 |   n/a |   n/a |
 0.397 | 0.747 | 1.082 | 1.205 |   n/a |   n/a |
