 0.341 | 0.669 | 1.225 | 1.481 |   n/a |   n/a |
 0.339 | 0.660 | 1.212 | 1.469 |   n/a |   n/a |
 0.341 | 0.667 | 1.221 | 1.475 |   n/a |   n/a |
 0.340 | 0.666 | 1.219 | 1.472 |   n/a |   n/a |
 0.339 | 0.658 | 1.207 | 1.459 |   n/a |   n/a |
 0.338 | 0.665 | 1.217 | 1.468 |   n/a |   n/a |
 0.338 | 0.659 | 1.210 | 1.462 |   n/a |   n/a |
 0.340 | 0.665 | 1.214 | 1.468 |   n/a |   n/a |
 0.338 | 0.659 | 1.204 | 1.458 |   n/a |   n/a |
 0.338 | 0.658 | 1.186 | 1.407 |   n/a |   n/a |
 0.341 | 0.667 | 1.218 | 1.471 |   n/a |   n/a |
 0.340 | 0.666 | 1.215 | 1.466 |   n/a |   n/a |
