 0.306 | 0.607 | 0.917 | 0.976 |   n/a |   n/a |
 0.333 | 0.658 | 0.939 | 0.991 |   n/a |   n/a |
 0.332 | 0.656 | 0.933 | 0.982 |   n/a |   n/a |
 0.327 | 0.649 | 0.925 | 0.976 |   n/a |   n/a |
 0.325 | 0.641 | 0.923 | 0.971 |   n/a |   n/a |
 0.326 | 0.645 | 0.919 | 0.967 |   n/a |   n/a |
 0.330 | 0.651 | 0.918 | 0.966 |   n/a |   n/a |
 0.325 | 0.642 | 0.908 | 0.959 |   n/a |   n/a |
 0.324 | 0.641 | 0.904 | 0.950 |   n/a |   n/a |
 0.326 | 0.641 | 0.899 | 0.946 |   n/a |   n/a |
 0.324 | 0.637 | 0.889 | 0.935 |   n/a |   n/a |
 0.324 | 0.634 | 0.880 | 0.925 |   n/a |   n/a |
