 0.634 | 1.200 | 1.642 | 1.807 |   n/a |   n/a |
 0.632 | 1.099 | 1.610 | 1.772 |   n/a |   n/a |
 0.630 | 1.190 | 1.629 | 1.802 |   n/a |   n/a |
 0.634 | 1.201 | 1.645 | 1.810 |   n/a |   n/a |
 0.628 | 1.198 | 1.648 | 1.813 |   n/a |   n/a |
 0.635 | 1.208 | 1.648 | 1.813 |   n/a |   n/a |
 0.635 | 1.202 | 1.629 | 1.791 |   n/a |   n/a |
 0.635 | 1.205 | 1.641 | 1.801 |   n/a |   n/a |
 0.629 | 1.195 | 1.630 | 1.795 |   n/a |   n/a |
 0.634 | 1.202 | 1.632 | 1.796 |   n/a |   n/a |
 0.632 | 1.202 | 1.639 | 1.802 |   n/a |   n/a |
 0.630 | 1.196 | 1.635 | 1.797 |   n/a |   n/a |
