 0.248 | 0.507 | 0.782 | 0.904 |   n/a |   n/a |
 0.250 | 0.511 | 0.794 | 0.921 |   n/a |   n/a |
 0.249 | 0.507 | 0.784 | 0.916 |   n/a |   n/a |
 0.248 | 0.509 | 0.791 | 0.918 |   n/a |   n/a |
 0.243 | 0.496 | 0.759 | 0.876 |   n/a |   n/a |
 0.233 | 0.497 | 0.785 | 0.911 |   n/a |   n/a |
 0.248 | 0.507 | 0.788 | 0.914 |   n/a |   n/a |
 0.232 | 0.493 | 0.775 | 0.900 |   n/a |   n/a |
 0.248 | 0.490 | 0.768 | 0.896 |   n/a |   n/a |
 0.244 | 0.503 | 0.779 | 0.905 |   n/a |   n/a |
 0.246 | 0.502 | 0.774 | 0.898 |   n/a |   n/a |
 0.248 | 0.508 | 0.789 | 0.914 |   n/a |   n/a |
