 0.399 | 0.630 | 1.025 | 1.184 |   n/a |   n/a |
 0.398 | 0.629 | 1.027 | 1.185 |   n/a |   n/a |
 0.400 | 0.630 | 1.030 | 1.188 |   n/a |   n/a |
 0.399 | 0.628 | 1.021 | 1.185 |   n/a |   n/a |
 0.399 | 0.629 | 1.025 | 1.183 |   n/a |   n/a |
 0.399 | 0.628 | 1.029 | 1.190 |   n/a |   n/a |
 0.399 | 0.628 | 1.024 | 1.181 |   n/a |   n/a |
 0.396 | 0.623 | 1.018 | 1.178 |   n/a |   n/a |
 0.396 | 0.624 | 1.019 | 1.179 |   n/a |   n/a |
 0.400 | 0.630 | 1.024 | 1.181 |   n/a |   n/a |
 0.399 | 0.629 | 1.028 | 1.184 |   n/a |   n/a |
 0.395 | 0.623 | 1.026 | 1.187 |   n/a |   n/a |
