 0.268 | 0.475 | 0.716 | 0.847 |   n/a |   n/a |
 0.266 | 0.474 | 0.714 | 0.843 |   n/a |   n/a |
 0.267 | 0.466 | 0.708 | 0.840 |   n/a |   n/a |
 0.271 | 0.479 | 0.723 | 0.855 |   n/a |   n/a |
 0.269 | 0.477 | 0.715 | 0.846 |   n/a |   n/a |
 0.269 | 0.474 | 0.711 | 0.840 |   n/a |   n/a |
 0.265 | 0.471 | 0.709 | 0.837 |   n/a |   n/a |
 0.268 | 0.473 | 0.711 | 0.843 |   n/a |   n/a |
 0.266 | 0.475 | 0.710 | 0.841 |   n/a |   n/a |
 0.268 | 0.476 | 0.701 | 0.814 |   n/a |   n/a |
 0.270 | 0.477 | 0.716 | 0.848 |   n/a |   n/a |
 0.263 | 0.458 | 0.695 | 0.830 |   n/a |   n/a |
